Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Скопенко,Венедикт,Володимирович,Чоловік,1956-10-10,Бізнесмен,хутір Кам'янка-Бузька,"площа Аеродромний 3-й, буд. 8 кв. 457, Шахтарськ, 51232",015 467-85-29,yshelest@example.net
Шведченко,Віктор,Дмитрович,Чоловік,1982-11-20,Ювелір,селище Мена,"провулок Гранатна, буд. 2, Яремче, 47513",791-91-06,iaroslavaorlyk@example.net
Демʼяненко,Стефан,Олегович,Чоловік,1966-01-17,Дантист,село Шепетівка,"сквер Данила Самойловича, буд. 68, Ківерці, 80500",068 36 24,iukhym69@example.com
Вакарчук,Ростислав,Богданович,Чоловік,1951-02-12,Кінокритик,село Українка,"шосе Солонцюватий 1-й, буд. 15 кв. 364, Приморськ, 41960",+380 (21) 903-47-89,fromanchuk@example.net
Бабій,Аврелій,Олегович,Чоловік,2003-05-04,Математик,село Носівка,"парк Сотника Лугіна, буд. 2 кв. 08, Біла Церква, 23796",+380 (62) 694-59-73,nmykhailiuk@example.net
Зубко,Панас,Макарович,Чоловік,2002-05-17,Конструктор,селище Шахтарськ,"площа Лятошинського, буд. 27, Борзна, 88960",+380 16 052 41 06,khorishkokamilla@example.com
Асаула,Венедикт,Дмитрович,Чоловік,1969-11-24,Громадський діяч,хутір Токмак,"провулок Авіаторів, буд. 5 кв. 208, Сторожинець, 50431",+380 (15) 466-07-25,sakymenko@example.com
Фесенко,Ігнат,Іванович,Чоловік,1954-01-12,Менеджер,селище Білицьке,"шосе Миргородський, буд. 481, Овруч, 10201",057 657 14 88,orkhypkybkalo@example.net
Ємець,Леон,Васильович,Чоловік,1995-02-19,Льотчик,село Каховка,"вулиця Юннатів 2-й, буд. 668, Ізмаїл, 16539",078 587-68-71,boleslavriabets@example.net
Дробаха,Алевтин,Григорович,Чоловік,1999-03-16,Перекладач,селище Рахів,"шосе Обсерваторний, буд. 274, Алупка, 22962",+380 (37) 654-26-56,iashchenkomaryna@example.com
Тягнибок,Алевтин,Макарович,Чоловік,1961-08-01,Льотчик,хутір Вашківці,"узвіз Траса Здоров'я, буд. 58, Шаргород, 36427",048 231 50 39,adam74@example.org
Сомко,Лукʼян,Олегович,Чоловік,1972-08-26,Секретар,хутір Ялта,"узвіз Вишневий, буд. 342 кв. 277, Копичинці, 86317",043 719-33-04,tymofii73@example.net
Андрійович,Олесь,Богданович,Чоловік,2007-06-22,Льотчик,хутір Кіцмань,"площа Горіхова, буд. 8, Миколаївка, 61891",015 761-88-52,bohuslavadanchuk@example.net
Гресь,Петро,Григорович,Чоловік,1995-02-15,Акушер,село Верхньодніпровськ,"набережна Волинський, буд. 293 кв. 67, Брянка, 83215",+380 04 628-32-26,lbashpolchenko@example.org
Скиба,Ростислав,Іванович,Чоловік,1994-02-24,Реставратор,хутір Кілія,"площа Лиманчик 2-й Лінія 11-та, буд. 6 кв. 753, Суми, 46130",511-15-46,hbarannyk@example.com
Алексійчук,Антон,Володимирович,Чоловік,1969-09-01,Сценарист,хутір Нова Каховка,"вулиця Пісочний, буд. 1 кв. 4, Южноукраїнськ, 20656",381-00-47,teodor17@example.org
Гавриш,Вʼячеслав,Богданович,Чоловік,1967-03-05,Гірник,хутір Суми,"вулиця Івасюка Володимира, буд. 467, Київ, 51365",962-74-96,iaroslavahaidai@example.com
Литвин,Богдан,Дмитрович,Чоловік,1993-01-04,Програміст,місто Прип'ять,"проспект Лінія 49-та, буд. 10, Ржищів, 32397",+380 38 568-59-59,valeriivivcharenko@example.org
Верховинець,Амвросій,Юрійович,Чоловік,1998-02-24,Драматург,селище Тетіїв,"парк Миколи Вороного, буд. 9, Зіньків, 50961",+380 04 950 62 60,hromanets@example.com
Ніколюк,Юхим,Михайлович,Чоловік,1955-11-11,Нотаріус,хутір Васильків,"парк Наявний 2-й, буд. 6, Рудки, 09903",+380 93 590-51-91,pzakharchenko@example.net
Редько,Онисим,Васильович,Чоловік,1964-06-29,Акушер,місто Нова Одеса,"провулок Задніпровського, буд. 80, Чуднів, 75311",+380 30 311 02 23,charnyshzorian@example.net
Жук,Адам,Петрович,Чоловік,1968-02-22,Ювелір,хутір Саки,"вулиця Карпатська, буд. 856, Чоп, 87370",095 748-56-39,khoma73@example.com
Приймак,Зиновій,Петрович,Чоловік,1976-12-05,Прокурор,хутір Берегове,"вулиця Лінія 25-та, буд. 120, Дубно, 33007",596-74-08,fdavydenko@example.com
Величко,Устим,Олександрович,Чоловік,1940-12-23,Диригент,село Гнівань,"проспект Флотський 3-й, буд. 68 кв. 87, Ужгород, 54309",084 750-74-74,boryslavivasiuk@example.com
Бабій,Леон,Степанович,Чоловік,1944-10-25,Швачка,хутір Подільськ,"парк Зелений, буд. 253 кв. 205, Новодністровськ, 52040",276 76 68,oleksandrprytula@example.net
Гаєвський,Віктор,Володимирович,Чоловік,1979-05-12,Модельєр,хутір Брянка,"провулок Армійська, буд. 335, Радехів, 09538",+380 86 905-54-97,leskanivets@example.net
Гуцуляк,Теодор,Володимирович,Чоловік,1956-03-16,Парфюмер,селище Глобине,"парк Азербайджан, буд. 36 кв. 89, Шептицький, 07499",+380 12 465-22-36,avhustyn61@example.net
Міщенко,Максим,Юрійович,Чоловік,2000-04-19,Мірошник,місто Вилкове,"шосе В'ячеслава Липинського, буд. 5, Кипуче, 52276",+380 23 377-06-89,kozakoleksandr@example.net
Рябченко,Єлисей,Юрійович,Чоловік,2000-03-06,Секретар,селище Новоукраїнка,"набережна Матроський узвіз, буд. 764 кв. 99, Вараш, 91110",224-44-66,demianiesypenko@example.net
Александренко,Онисим,Іванович,Чоловік,1996-05-04,Модель,селище Лебедин,"проспект Лузанівський, буд. 932 кв. 72, Монастириська, 83367",051 987 15 65,furspylyp@example.net
Голик,Семен,Федорович,Чоловік,1965-12-09,Гірник,село Знам'янка,"узвіз Тюльпанний, буд. 648 кв. 996, Красногорівка, 90272",+380 53 924-96-81,hhavrylyshyn@example.net
Лесик,Йосип,Макарович,Чоловік,1956-03-15,Кушнір,село Шахтарськ,"парк Шампанський, буд. 262 кв. 04, Чорноморськ, 37243",696-46-80,fursvarvara@example.org
Червоненко,Федір,Іванович,Чоловік,1980-06-30,Музикознавець,село Курахове,"узвіз Авіаторів, буд. 5 кв. 51, Одеса, 44798",018 157-45-31,davymukaanastasiia@example.net
Євтушенко,Феофан,Андрійович,Чоловік,1966-06-13,Штукатур,місто Ізяслав,"провулок Жасминна, буд. 9 кв. 821, Яремче, 35988",044 473 28 30,artemenkooryna@example.org
Туркало,Варфоломій,Олегович,Чоловік,1948-04-18,Дерун,селище Кам'янка-Дніпровська,"проспект Балтський 1-й, буд. 060, Судак, 51056",+380 (05) 220-49-09,semen61@example.org
Шеремет,Назар,Богданович,Чоловік,1972-08-01,Хімік,хутір Овруч,"набережна Краснослобідський, буд. 85, Миргород, 75641",+380 26 094 31 62,izatovkaniuk@example.com
Вакарчук,Валентин,Степанович,Чоловік,1959-03-04,Електрослюсар,селище Бунге,"провулок Савранський, буд. 378 кв. 14, Дубно, 39394",+380 07 362-73-61,stsiutsiura@example.org
Щорс,Тарас,Дмитрович,Чоловік,1964-09-04,Письменник,хутір Бар,"вулиця Аграрна, буд. 85, Помічна, 14902",+380 53 083-87-53,spas73@example.com
